index,date,humidity,,,,,,,,,,,,,,
0,1/1/2014,75.6,,,,,,,,,,,,,,
1,2/1/2014,81.8,,,,,,,,,,,,,,
2,3/1/2014,72.1,,,,,,,,,,,,,,
3,4/1/2014,72.2,,,,,,,,,,,,,,
4,5/1/2014,87.8,,,,,,,,,,,,,,
5,6/1/2014,79.5,,,,,,,,,,,,,,
6,7/1/2014,86.3,,,,,,,,,,,,,,
7,8/1/2014,82.3,,,,,,,,,,,,,,
8,9/1/2014,82.5,,,,,,,,,,,,,,
9,10/1/2014,82.1,,,,,,,,,,,,,,
10,11/1/2014,82.3,,,,,,,,,,,,,,
11,12/1/2014,79.5,,,,,,,,,,,,,,
12,13/1/2014,83.9,,,,,,,,,,,,,,
13,14/1/2014,81.2,,,,,,,,,,,,,,
14,15/1/2014,78.8,,,,,,,,,,,,,,
15,16/1/2014,80.2,,,,,,,,,,,,,,
16,17/1/2014,82.6,,,,,,,,,,,,,,
17,18/1/2014,83.3,,,,,,,,,,,,,,
18,19/1/2014,80.3,,,,,,,,,,,,,,
19,20/1/2014,72.9,,,,,,,,,,,,,,
20,21/1/2014,78.2,,,,,,,,,,,,,,
21,22/1/2014,80,,,,,,,,,,,,,,
22,23/1/2014,79.8,,,,,,,,,,,,,,
23,24/1/2014,79.2,,,,,,,,,,,,,,
24,25/1/2014,78.7,,,,,,,,,,,,,,
25,26/1/2014,77,,,,,,,,,,,,,,
26,27/1/2014,78.5,,,,,,,,,,,,,,
27,28/1/2014,74,,,,,,,,,,,,,,
28,29/1/2014,80.1,,,,,,,,,,,,,,
29,30/1/2014,78.4,,,,,,,,,,,,,,
30,31/1/2014,78.6,,,,,,,,,,,,,,
31,1/2/2014,81.6,,,,,,,,,,,,,,
32,2/2/2014,84.3,,,,,,,,,,,,,,
33,3/2/2014,76.2,,,,,,,,,,,,,,
34,4/2/2014,75.5,,,,,,,,,,,,,,
35,5/2/2014,70.3,,,,,,,,,,,,,,
36,6/2/2014,76.2,,,,,,,,,,,,,,
37,7/2/2014,80.8,,,,,,,,,,,,,,
38,8/2/2014,83.2,,,,,,,,,,,,,,
39,9/2/2014,75.4,,,,,,,,,,,,,,
40,10/2/2014,76.8,,,,,,,,,,,,,,
41,11/2/2014,78.2,,,,,,,,,,,,,,
42,12/2/2014,77.2,,,,,,,,,,,,,,
43,13/2/2014,79.7,,,,,,,,,,,,,,
44,14/2/2014,80.6,,,,,,,,,,,,,,
45,15/2/2014,76.6,,,,,,,,,,,,,,
46,16/2/2014,77.3,,,,,,,,,,,,,,
47,17/2/2014,74.3,,,,,,,,,,,,,,
48,18/2/2014,78.8,,,,,,,,,,,,,,
49,19/2/2014,75.2,,,,,,,,,,,,,,
50,20/2/2014,78.7,,,,,,,,,,,,,,
51,21/2/2014,71.8,,,,,,,,,,,,,,
52,22/2/2014,86.9,,,,,,,,,,,,,,
53,23/2/2014,84.4,,,,,,,,,,,,,,
54,24/2/2014,84.8,,,,,,,,,,,,,,
55,25/2/2014,88.4,,,,,,,,,,,,,,
56,26/2/2014,86.2,,,,,,,,,,,,,,
57,27/2/2014,82.3,,,,,,,,,,,,,,
58,28/2/2014,88.6,,,,,,,,,,,,,,
59,1/3/2014,85.5,,,,,,,,,,,,,,
60,2/3/2014,84.3,,,,,,,,,,,,,,
61,3/3/2014,89,,,,,,,,,,,,,,
62,4/3/2014,89.7,,,,,,,,,,,,,,
63,5/3/2014,81.9,,,,,,,,,,,,,,
64,6/3/2014,86.2,,,,,,,,,,,,,,
65,7/3/2014,86.9,,,,,,,,,,,,,,
66,8/3/2014,90.6,,,,,,,,,,,,,,
67,9/3/2014,76.8,,,,,,,,,,,,,,
68,10/3/2014,71.2,,,,,,,,,,,,,,
69,11/3/2014,74.8,,,,,,,,,,,,,,
70,12/3/2014,81.4,,,,,,,,,,,,,,
